Fecha,Recaudo_Total,Año,Mes
2021-10-01,224600098909.39,2021,10
2021-11-01,222350460974.35,2021,11
2021-12-01,214533851990.46,2021,12
2022-01-01,304259520486.07,2022,1
2022-02-01,179989406612.72,2022,2
2022-03-01,276657071222.12,2022,3
2022-04-01,190628199399.83,2022,4
2022-05-01,181077393973.33,2022,5
2022-06-01,204730649406.32,2022,6
2022-07-01,328179710931.15,2022,7
2022-08-01,221266364339.43,2022,8
2022-09-01,220240427737.93,2022,9
2022-10-01,223131717566.17,2022,10
2022-11-01,233829383672.71,2022,11
2022-12-01,265010838252.03,2022,12
2023-01-01,371925277156.02,2023,1
2023-02-01,190014844582.38,2023,2
2023-03-01,378929415492.99,2023,3
2023-04-01,161694067166.12,2023,4
2023-05-01,200194762698.13,2023,5
2023-06-01,212535248943.6,2023,6
2023-07-01,353214974878.8,2023,7
2023-08-01,260689645341.9,2023,8
2023-09-01,213331207104.71,2023,9
2023-10-01,225809552148.48,2023,10
2023-11-01,232195473665.38,2023,11
2023-12-01,225332254397.13,2023,12
2024-01-01,368857304780.45,2024,1
2024-02-01,229878466995.02,2024,2
2024-03-01,299785963710.34,2024,3
2024-04-01,175704557704.6,2024,4
2024-05-01,185181224037.73,2024,5
2024-06-01,191501569798.64,2024,6
2024-07-01,405073239203.5,2024,7
2024-08-01,293440198006.57,2024,8
2024-09-01,243431955324.26,2024,9
2024-10-01,246839394042.9,2024,10
2024-11-01,304978070966.4,2024,11
2024-12-01,210427366963.37,2024,12
2025-01-01,471616429730.06,2025,1
2025-02-01,273871133065.13,2025,2
2025-03-01,292903614913.88,2025,3
2025-04-01,177587037972.0,2025,4
2025-05-01,189321981231.44,2025,5
2025-06-01,238918768754.88,2025,6
2025-07-01,420431472313.2,2025,7
2025-08-01,269328633035.87,2025,8
2025-09-01,268836215602.66,2025,9
2025-10-01,313009859577.27,2025,10
2025-11-01,273825294334.44,2025,11
2025-12-01,241029180476.59,2025,12
