Fecha,Pronostico,Limite_Inferior,Limite_Superior,es_pico_fiscal,es_festividad
2026-01-01,500824066322.1463,385986567064.19995,649827654146.5667,1,0
2026-02-01,290832222678.1867,224145241353.94284,377359703186.162,0,0
2026-03-01,311043403525.18964,239722057314.51782,403584050463.8184,0,0
2026-04-01,188585165563.81927,145343136536.43573,244692425925.49054,0,0
2026-05-01,201046864586.08432,154947404277.5512,260861690122.1471,0,0
2026-06-01,253715226496.67227,195539064246.38046,329199776036.2196,0,1
2026-07-01,446469177704.9148,344095096016.16534,579301271504.0488,1,0
2026-08-01,286008401469.8705,220427508276.6957,371100714020.90674,0,0
2026-09-01,285485488174.90955,220024497473.8301,370422225225.8108,0,0
2026-10-01,332394846299.4574,256177676443.38055,431287906816.64453,0,0
2026-11-01,290783545113.00525,224107725385.40714,377296543272.01154,0,0
2026-12-01,255956337945.40936,197266295353.3012,332107655882.48676,0,1
